Number,Name,Call ID,Type,Ring Style,Call Receive Tone
0,All Calls,01677215,Group All,Off,None
1,TG1 WW,00000001,Group All,Off,None
2,TG5 VK Nets,00000005,Group All,Off,None
3,TG8 StateLnkd,00000008,Group All,Off,None
4,TG9 Local,00000009,Group All,Off,None
5,TG13 WWE,00000013,Group All,Off,None
6,TG30 JOTA,00000030,Group All,Off,None
7,TG100 TechTalk,00000100,Group All,Off,None
8,TG113 UA Eng1,00000113,Group All,Off,None
9,TG123 UA Eng2,00000123,Group All,Off,None
10,TG133 DMR+USA,00000133,Group All,Off,None
11,TG143 DMR+UK,00000143,Group All,Off,None
12,TG153 DMR+SthPac,00000153,Group All,Off,None
13,Private,00000315,Group All,On,None
14,TG505 AU,00000505,Group All,Off,None
15,TAXI GN,00000950,Group All,Off,None
16,TG3800 AU,00003800,Group All,Off,None
17,TG3801 ACT,00003801,Group All,Off,None
18,TG3802 NSW,00003802,Group All,Off,None
19,TG3803 Vic,00003803,Group All,Off,None
20,TG3804 Qld,00003804,Group All,Off,None
21,TG3805 SA,00003805,Group All,Off,None
22,TG3806 WA,00003806,Group All,Off,None
23,TG3807 Tas,00003807,Group All,Off,None
24,TG3808 VK8,00003808,Group All,Off,None
25,TG3809 VK9,00003809,Group All,Off,None
26,Reflctr Discnct,00004000,Group All,Off,None
27,Rpt Status,00005000,Group All,Off,None
28,TG5050 AU BM,00005050,Group All,Off,None
29,TG5051 ACT BM,00005051,Group All,Off,None
30,TG5052 NSW BM,00005052,Group All,Off,None
31,TG5053 Vic BM,00005053,Group All,Off,None
32,TG5054 Qld BM,00005054,Group All,Off,None
33,TG5055 SA BM,00005055,Group All,Off,None
34,TG5056 WA BM,00005056,Group All,Off,None
35,TG5057 Tas BM,00005057,Group All,Off,None
36,TG50599 YSF,00050599,Group All,Off,None
37,BM Local,00505001,Group All,Off,None
38,TG91 BM WW,00000091,Group All,Off,None
39,TG913 BM WWE,00000913,Group All,Off,None
40,TG923 BM EU E,00000923,Group All,Off,None
41,TG95 BM PacRim,00000095,Group All,Off,None
42,VK WICEN BM,00050566,Group All,Off,None
43,ref4581 tg133 US,00004581,Group All,Off,None
44,ref4404 tg143,00000143,Group All,On,None
45,ref4851 tg153 SP,00004851,Group All,Off,None
46,ref4800 tf3800,00004800,Group All,Off,None
47,ref4801 tg3801,00004801,Group All,Off,None
48,ref4802 tg3802,00004802,Group All,Off,None
49,ref4803 tg3803,00004803,Group All,Off,None
50,ref4804 tg3804,00004804,Group All,Off,None
51,ref4805 tg3805,00004805,Group All,Off,None
52,ref4806 tg3806,00004806,Group All,Off,None
53,ref4807 tg3807,00004807,Group All,Off,None
54,TG26204,00026204,Group All,Off,None
55,TG31665,00031665,Group All,Off,None
