RX Group Name,Contact 1,Contact 2,Contact 3,Contact 4,Contact 5,Contact 6,Contact 7,Contact 8,Contact 9,Contact 10,Contact 11,Contact 12,Contact 13,Contact 14,Contact 15,Contact 16,Contact 17,Contact 18,Contact 19,Contact 20,Contact 21,Contact 22,Contact 23,Contact 24,Contact 25,Contact 26,Contact 27,Contact 28,Contact 29,Contact 30,Contact 31,Contact 32
DMR+ Monitor,TG1 WW,TG5 VK Nets,TG8 StateLnkd,TG9 Local,TG13 WWE,TG30 JOTA,TG100 TechTalk,TG113 UA Eng1,TG123 UA Eng2,TG133 DMR+USA,TG143 DMR+UK,TG153 DMR+SthPac,TG505 AU,TAXI GN,TG3800 AU,,,,,,,,,,,,,,,,,
DM Monitor,TG505 AU,TG5050 AU BM,TG5051 ACT BM,TG5052 NSW BM,TG5053 Vic BM,TG5054 Qld BM,TG5055 SA BM,TG5056 WA BM,TG5057 Tas BM,TG50599 YSF,BM Local,TG91 BM WW,TG913 BM WWE,TG923 BM EU E,TG95 BM PacRim,,,,,,,,,,,,,,,,,
DV4mini DMR+,TG9 Local,TG505 AU,TG8 StateLnkd,TG3800 AU,TG3801 ACT,TG3802 NSW,TG3803 Vic,TG3804 Qld,TG3805 SA,TG3806 WA,TG3807 Tas,TG3808 VK8,TG3809 VK9,,,,,,,,,,,,,,,,,,,
All Calls,All Calls,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG3801,TG3801 ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG3802,TG3802 NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG3803,TG3803 Vic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG3804,TG3804 Qld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG3805,TG3805 SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG3806,TG3806 WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG3807,TG3807 Tas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG1,TG1 WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG8,TG8 StateLnkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG9,TG9 Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG13,TG13 WWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG113,TG113 UA Eng1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG123,TG123 UA Eng2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG133,TG133 DMR+USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG153,TG153 DMR+SthPac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG505,TG505 AU,TG3800 AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm5051,TG5051 ACT BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm5052,TG5052 NSW BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm5053,TG5053 Vic BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm5054,TG5054 Qld BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm5055,TG5055 SA BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm5056,TG5056 WA BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm5057,TG5057 Tas BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm50599,TG50599 YSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm91,TG91 BM WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm913,TG913 BM WWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm923,TG923 BM EU E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm95,TG95 BM PacRim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG6,TG6 DStar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG143,TG143 DMR+UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm2624,TG26204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm31665,TG31665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bm50566,VK WICEN BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
